kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
bar.sync.s32,182.58765076849997,90.41153773266441
setp.ge.f64,460.047964758,539.7920861881951
ld.u64,517.5424818720002,544.0738949792221
setp.ne.f32,250.70409223450002,230.30150858868853
shfl.sync.down.b32,712.4080128169999,706.3909206690307
sub.u16,316.956251368,379.8966281797454
setp.ne.u16,276.6081178235001,320.0979123979133
mov.pred.s32,270.3357013685,265.00525242294384
fma.rm.f64,495.4108642330001,684.7502939018899
ld.s16,371.0704020774999,392.8930011380662
setp.eq.u32,255.42501505099992,220.95817426806818
mov.s32,248.45247643699997,257.07979172353083
mov.b16,266.35069317450007,328.3517331822612
mov.f64,363.97034962399994,315.36373186289643
shl.b32,244.92349942550004,254.93189998822257
setp.ge.u64,499.4056032265001,530.5916424451731
st.s8,376.5640882345,294.71456942891757
st.s16,358.40525431000003,304.26591206849366
cvt.widen.s32,690.3674161279998,577.8966868076001
cvt.u64.u32,398.07653553499983,425.80764754267284
setp.lt.s32,246.65060571499987,244.93024820582497
add.u64,457.94112844999984,574.3671560465932
div.s32,1217.1827638855,1267.8666512693098
ld.f64,450.9725693184999,488.3479434000426
neg.f64,509.5684120025,718.8518402936982
neg.s64,476.03874975299993,604.974964215729
add.f32,255.7576801109999,305.65523871500784
setp.lt.u64,509.292605009,530.8617942746728
ld.s8,391.49154709849995,389.45368194976317
mul.f64,530.9293796630001,687.2763354706036
setp.le.u64,498.79261422049996,517.1033674611729
add.s16,272.9669719225,337.1421693867454
setp.ne.s16,288.9280485245,314.44028126641336
mul.hi.u32,259.5663985159999,263.6509779617226
cvt.s64.s32,415.684772896,449.7875293069498
div.u64,4599.2324274415005,4788.046673902593
bra.uni.s32,273.42604874950007,271.23442907465034
setp.ge.f32,251.20979522649995,238.52966560418878
mul.hi.s64,1002.246272015,1143.3502862755927
div.u16,1337.4319023895,1391.6277653037455
st.u16,374.2776283034999,307.96297419149334
add.u32,248.97894147749992,288.5434691523095
sub.s32,268.05310287099996,284.46593822430964
setp.le.u16,275.0733343089999,317.2043351954136
