kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
flip_flop_mha,1027.469317993,115.88419
mha,1041.3625257429999,115.88419
npb_bt_add,1045.284488238,442.22018
npb_bt_compute_rhs_1,1626.3757972374997,370.77905
npb_bt_compute_rhs_2,2970.9001047545,1240.2823
npb_bt_compute_rhs_3,1425.2412579460001,272.29303
npb_bt_compute_rhs_4,1299.1996800015,796.7351
npb_bt_compute_rhs_5,3669.6567469815,680.7325
npb_bt_compute_rhs_6,1049.953147867,1593.4701
npb_bt_compute_rhs_7,6946.735427265499,1361.465
npb_bt_compute_rhs_8,1018.8143244525002,1593.4701
npb_bt_compute_rhs_9,887.3738596889999,338.83932
npb_bt_x_solve_1,1507.406334998,1082.7482
npb_bt_x_solve_2,922.47976142,244.72801
npb_bt_x_solve_3,784.8697435545001,7.9586034
npb_bt_y_solve_1,1512.1861907885,1097.1609
npb_bt_y_solve_2,875.4414379805002,235.954
npb_bt_y_solve_3,801.2016197439998,7.9586034
npb_bt_z_solve_1,1527.6474801455001,1097.1609
npb_bt_z_solve_2,842.4758118585,214.69618
npb_bt_z_solve_3,752.5572180814999,7.6807685
npb_cg_kernel_eight,13313.117013016003,9224.242
npb_cg_kernel_eleven,1259.223578969,118.27428
npb_cg_kernel_five_1,763.6381329785,69.27506
npb_cg_kernel_five_2,770.0208659545001,70.968025
npb_cg_kernel_four,6851.4847041385,202.24104
npb_cg_kernel_nine,7550.530486,273.59442
npb_cg_kernel_one,1390.9833894459998,170.12979
npb_cg_kernel_seven,900.0476631250001,83.90519
npb_cg_kernel_six,6892.705175219001,191.5401
npb_cg_kernel_ten_1,6962.007380077001,200.35532
npb_cg_kernel_ten_2,7289.144824874,200.35532
npb_cg_kernel_three,13127.4087564625,9224.242
npb_cg_kernel_two,6802.842646458999,191.5401
npb_ep_kernel,796.4012590735001,19.839191
npb_ft_cffts1_kernel_1,4014.3604909455,2778.952
npb_ft_cffts1_kernel_2,44089.8290432395,155.21016
npb_ft_cffts1_kernel_3,2396.4385046995003,2778.952
npb_ft_cffts2_kernel_1,3268.3331292305,3039.532
npb_ft_cffts2_kernel_2,1311.326223328,4.6563034
npb_ft_cffts2_kernel_3,3239.155542988,3039.532
npb_ft_cffts3_kernel_1,3274.3103469280004,3039.532
npb_ft_cffts3_kernel_2,1313.7931607105,5.031346
npb_ft_cffts3_kernel_3,3268.823822702,3039.532
npb_ft_checksum_kernel,2972.2108336185,561.298
npb_ft_compute_indexmap_kernel,8294.5562803805,13341.961
npb_ft_compute_initial_conditions_kernel,1837.7398508375,0.0032705509
npb_ft_evolve_kernel,4820.2043440219995,5443.9736
npb_ft_init_ui_kernel,4274.8838897225,3040.6235
npb_is_create_seq_kernel,897.894228417,3.1068683
npb_is_full_verify_kernel_1,1258.4719857195,918.68744
npb_is_full_verify_kernel_2,1047.1848081089997,105.60724
npb_is_full_verify_kernel_3,1386.6773505465003,1998.6396
npb_is_rank_kernel_1,912.6434132460001,0.047595408
npb_is_rank_kernel_2,970.6810061745002,75.694664
npb_is_rank_kernel_3,1070.6676969525001,106.74321
npb_is_rank_kernel_4,930.600072198,11.097971
npb_is_rank_kernel_5,800.1772255945,0.3975143
npb_is_rank_kernel_6,910.5154562835,24.99863
npb_is_rank_kernel_7,864.472308451,0.174923
npb_lu_erhs_1,984.7613408004999,105.24877
npb_lu_erhs_2,968.6085552620001,20.484201
npb_lu_erhs_3,913.7628792539999,19.881725
npb_lu_erhs_4,900.9783835295002,19.809368
npb_lu_error_gpu_kernel,898.0740510209998,39.95206
npb_lu_jacld_blts_gpu_kernel,893.9173961345,1.9749657
npb_lu_jacu_buts_gpu_kernel,885.2152264610003,1.9113281
npb_lu_l2norm_gpu_kernel,871.8194782140001,19.60469
npb_lu_norm_gpu_kernel,804.8105544119999,0.26063982
npb_lu_pintgr_1,1062.8371771135,1931.0243
npb_lu_pintgr_2,1068.3756764995,989.58856
npb_lu_pintgr_3,1081.2022796340004,990.80365
npb_lu_pintgr_4,852.8991109875001,0.23623465
npb_lu_rhs_1,870.3075108830001,77.33379
npb_lu_rhs_2,902.7796239914999,250.94981
npb_lu_rhs_3,911.8865650900002,21.18637
npb_lu_rhs_4,925.6557621945001,21.15304
npb_lu_setbv_1,879.416057024,5.6854467
npb_lu_setbv_2,857.5693589325,5.5275173
npb_lu_setbv_3,863.0551400775,5.5058494
npb_lu_setiv_gpu_kernel,973.4578144364999,19.708181
npb_lu_ssor_1,945.638946449,157.09761
npb_lu_ssor_2,992.641528262,188.37889
npb_mg_comm3_kernel_1,987.8436053915,56.482647
npb_mg_comm3_kernel_2,948.3028324564998,154.15878
npb_mg_comm3_kernel_3,943.2894269825001,163.79372
npb_mg_interp_gpu_kernel,1113.2385707934998,327.5353
npb_mg_norm2u3_gpu_kernel,1293.8617098325,660.1534
npb_mg_psinv_gpu_kernel,1451.2577125535,1088.4957
npb_mg_resid_gpu_kernel,1452.272751338,1050.7722
pnpb_mg_rprj3_gpu_kernel,1008.9227803824999,245.73186
npb_mg_zero3_gpu_kernel,1735.1779576505,2190.4014
npb_sp_add_gpu_kernel,890.9234934405,96.61683
npb_sp_compute_rhs_gpu_kernel_1,862.7744224139998,72.540565
npb_sp_compute_rhs_gpu_kernel_2,924.9143905575,150.57935
npb_sp_error_norm_gpu_kernel_1,908.895076105,29.095524
npb_sp_error_norm_gpu_kernel_2,824.9116881525,0.40681586
npb_sp_exact_rhs_gpu_kernel_1,842.8878981750001,80.92521
npb_sp_exact_rhs_gpu_kernel_2,905.4640427239999,16.082508
npb_sp_exact_rhs_gpu_kernel_3,928.8838347035,43.194035
npb_sp_exact_rhs_gpu_kernel_4,908.3156215845001,41.3421
npb_sp_initialize_gpu_kernel,1014.4004252445001,34.43602
npb_sp_rhs_norm_gpu_kernel_1,872.293330477,45.235912
