kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
add.f32,255.7576801109999,244.84373
add.f32,399.5333932450001,381.57812
add.f64,525.7327384195,510.64487
add.f64,1019.2974568699999,997.80096
add.s16,272.9669719225,261.81558
add.s16,430.896564791,424.2934
add.s32,249.24793876649997,235.1901
add.s32,375.44315892249995,355.90594
add.s64,465.87454415750005,447.6055
add.s64,800.509575845,776.5992
add.u16,270.28737199600005,257.68335
add.u16,435.4651791134999,414.1065
add.u32,248.97894147749992,235.64723
add.u32,392.48319091649995,370.95288
add.u64,457.94112844999984,442.40872
add.u64,794.9337243830001,782.3332
bar.sync.s32,182.58765076849997,170.31529
bar.sync.s32,253.44509695899995,233.79346
bra.uni.s32,273.42604874950007,272.36823
bra.uni.s32,421.403270271,414.69644
bra.s32,267.41520904699996,254.99576
bra.s32,422.7149975570001,404.92798
cvt.s64.s32,415.684772896,403.18927
cvt.s64.s32,701.5792475645001,682.7688
cvt.sat.f32.f32,259.0329002969999,250.01076
cvt.sat.f32.f32,363.681864124,349.01373
cvt.u64.u32,398.07653553499983,393.64212
cvt.u64.u32,659.9911141444999,656.1666
cvt.widen.s32,690.3674161279998,673.93317
cvt.widen.s32,1187.7501448894998,1177.2645
cvt.widen.u32,620.5168700364999,607.6895
cvt.widen.u32,1035.1049222460001,1020.31006
cvta.const.u64,433.35353579,417.98264
cvta.const.u64,733.0032515535001,710.8992
cvta.local.u64,512.9632907870001,498.45212
cvta.local.u64,888.7567650854999,870.40326
cvta.shared.u64,492.36950742199997,488.32864
cvta.shared.u64,849.3307537600001,837.0876
div.rn.f32,1843.402212868,1824.7954
div.rn.f32,3525.2522711905003,3525.655
div.rn.f64,9435.8031845025,9423.266
div.rn.f64,18877.903315624,18847.266
div.s16,1593.9762213680006,1585.5724
div.s16,3075.3007672264994,3086.5354
div.s32,1217.1827638855,1204.4714
div.s32,2340.0101954415004,2319.2742
div.s64,4960.804563244499,4921.8896
div.s64,10283.4160397085,10223.819
