kernelName,powerConsumptionJoules,predictedPowerConsumptionJoules
flip_flop_mha,1027.469317993,96.23865
mha,1041.3625257429999,96.23865
npb_bt_add,1045.284488238,405.85123
npb_bt_compute_rhs_1,1626.3757972374997,353.60663
npb_bt_compute_rhs_2,2970.9001047545,1184.2662
npb_bt_compute_rhs_3,1425.2412579460001,264.30334
npb_bt_compute_rhs_4,1299.1996800015,768.8102
npb_bt_compute_rhs_5,3669.6567469815,660.75836
npb_bt_compute_rhs_6,1049.953147867,1537.6204
npb_bt_compute_rhs_7,6946.735427265499,1321.5168
npb_bt_compute_rhs_8,1018.8143244525002,1537.6204
npb_bt_compute_rhs_9,887.3738596889999,320.71964
npb_bt_x_solve_1,1507.406334998,963.7455
npb_bt_x_solve_2,922.47976142,230.67065
npb_bt_x_solve_3,784.8697435545001,7.290457
npb_bt_y_solve_1,1512.1861907885,974.82336
npb_bt_y_solve_2,875.4414379805002,222.1183
npb_bt_y_solve_3,801.2016197439998,7.290457
npb_bt_z_solve_1,1527.6474801455001,974.82336
npb_bt_z_solve_2,842.4758118585,202.93138
npb_bt_z_solve_3,752.5572180814999,7.0062003
npb_cg_kernel_eight,13313.117013016003,8640.688
npb_cg_kernel_eleven,1259.223578969,115.80232
npb_cg_kernel_five_1,763.6381329785,68.34483
npb_cg_kernel_five_2,770.0208659545001,69.45595
npb_cg_kernel_four,6851.4847041385,193.19174
npb_cg_kernel_nine,7550.530486,262.21402
npb_cg_kernel_one,1390.9833894459998,159.65253
npb_cg_kernel_seven,900.0476631250001,82.47941
npb_cg_kernel_six,6892.705175219001,183.35692
npb_cg_kernel_ten_1,6962.007380077001,190.62875
npb_cg_kernel_ten_2,7289.144824874,190.62875
npb_cg_kernel_three,13127.4087564625,8640.688
npb_cg_kernel_two,6802.842646458999,183.35692
npb_ep_kernel,796.4012590735001,19.978125
npb_ft_cffts1_kernel_1,4014.3604909455,2682.7368
npb_ft_cffts1_kernel_2,44089.8290432395,142.31122
npb_ft_cffts1_kernel_3,2396.4385046995003,2682.7368
npb_ft_cffts2_kernel_1,3268.3331292305,2895.148
npb_ft_cffts2_kernel_2,1311.326223328,4.2693353
npb_ft_cffts2_kernel_3,3239.155542988,2895.148
npb_ft_cffts3_kernel_1,3274.3103469280004,2895.148
npb_ft_cffts3_kernel_2,1313.7931607105,4.6346016
npb_ft_cffts3_kernel_3,3268.823822702,2895.148
npb_ft_checksum_kernel,2972.2108336185,515.91144
npb_ft_compute_indexmap_kernel,8294.5562803805,13715.535
npb_ft_compute_initial_conditions_kernel,1837.7398508375,0.0032221132
npb_ft_evolve_kernel,4820.2043440219995,5160.258
