kernel_name,instruction,count,total_instructions,power_consumption_joules
add_f32,add.f32,3687037919232,3687037919232,389.618210827
add_s32,add.s32,3681133568000,3681133568000,380.76514881349993
add_s64,add.s64,2146431369216,2146431369216,376.5211036879999
mul_lo_s32,mul.lo.s32,3682493153280,3682493153280,418.99162300399996
mov_b32,mov.b32,3669640986624,3669640986624,379.0241096115
mov_u32,mov.u32,3669596938240,3669596938240,361.7583542295
cvt_s64_s32,cvt.s64.s32,1389986136064,1389986136064,358.3351530455
shl_b64,shl.b64,2080306806784,2080306806784,350.056985052
ld_f32,ld.f32,2682329300992,2682329300992,391.0577670734999
st_f32,st.f32,2806538584064,2806538584064,540.1297647534999
mul_f32,mul.f32,3667162136576,3667162136576,381.52638836799997
mov_f32,mov.f32,3654421725184,3654421725184,371.78075458049994
bra,bra,3324552560640,3324552560640,374.29284796499996
bra_uni,bra.uni,3323988803584,3323988803584,362.66996487550006
