kernelName,gridDim_x,gridDim_y,gridDim_z,blockDim_x,blockDim_y,blockDim_z,instruction,occurrences,total_instructions,total_power_consumption_joules
add.f32,152,1,1,1024,1,1,add.f32,3668017577984,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,add.s32,3668017733632,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,add.s64,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,bra,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,bra.uni,11004052889600,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,cvt.rn.f32.s32,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,cvt.s64.s32,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,ld.param.u64,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,mov.b32,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,mov.f32,7336035778560,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,mov.u32,3668018511872,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,mul.lo.s32,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,not.pred,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,ret,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,setp.lt.s32,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,shl.b64,155648,29344143581184,720.4899668050001
add.f32,152,1,1,1024,1,1,st.f32,155648,29344143581184,720.4899668050001
add.s32,152,1,1,1024,1,1,add.s32,7337054494720,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,add.s64,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,bra,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,bra.uni,11005581664256,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,cvt.s64.s32,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,ld.param.u64,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,mov.b32,466944,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,mov.u32,11005582909440,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,mul.lo.s32,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,not.pred,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,ret,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,setp.lt.s32,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,shl.b64,155648,29348220313600,693.1624326075
add.s32,152,1,1,1024,1,1,st.u32,155648,29348220313600,693.1624326075
add.s64,152,1,1,1024,1,1,add.s32,2030945845248,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,add.s64,2030945845248,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,bra,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,bra.uni,6092837224448,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,cvt.s64.s32,311296,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,ld.param.u64,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,mov.b32,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,mov.b64,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,mov.u32,2030946623488,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,mov.u64,4061891846144,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,mul.lo.s32,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,not.pred,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,ret,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,setp.lt.s32,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,shl.b64,155648,16247568474112,682.1894606769999
add.s64,152,1,1,1024,1,1,st.u64,155648,16247568474112,682.1894606769999
mul.lo.s32,152,1,1,1024,1,1,add.s32,3683775381504,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,add.s64,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,bra,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,bra.uni,11051325833216,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,cvt.s64.s32,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,ld.param.u64,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,mov.b32,311296,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,mov.u32,11051327078400,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,mul.lo.s32,3683775381504,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,not.pred,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,or.b32,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,ret,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,setp.lt.s32,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,shl.b64,155648,29470204764160,812.3440694024999
mul.lo.s32,152,1,1,1024,1,1,st.u32,155648,29470204764160,812.3440694024999
mov.b32,152,1,1,1024,1,1,add.s32,3471418122240,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,add.s64,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,bra,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,bra.uni,10414254055424,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,cvt.s64.s32,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,ld.param.u64,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,mov.b32,3471418277888,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,mov.u32,10414255144960,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,mul.lo.s32,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,not.pred,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,ret,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,setp.lt.s32,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,shl.b64,155648,27771346378752,649.2902595670001
mov.b32,152,1,1,1024,1,1,st.u32,155648,27771346378752,649.2902595670001
mov.u32,152,1,1,1024,1,1,add.s32,3670488489984,29363909320704,698.8471632005001
